Type,Old URL,New URL,Title,H1,Meta Title,Meta Description,Primary CTA,Assets Needed,Status,Notes
Page,,,,,,,,,,
Product,,,,,,,,,,
Category,,,,,,,,,,
Blog,,,,,,,,,,
Policy,,,,,,,,,,
